iter,iter_best_length,global_best_length
0,394.34842812658894,394.34842812658894
1,395.6192337627446,394.34842812658894
2,399.71161431341227,394.34842812658894
3,391.4934687708738,391.4934687708738
4,398.02825690651366,391.4934687708738
5,393.6346106994738,391.4934687708738
6,396.04322059434395,391.4934687708738
7,390.85822605389626,390.85822605389626
8,394.61225752140626,390.85822605389626
9,391.2935703873082,390.85822605389626
10,390.46028359888874,390.46028359888874
11,390.4602835988887,390.4602835988887
12,390.46028359888874,390.4602835988887
13,391.05223704396116,390.4602835988887
14,390.4602835988887,390.4602835988887
15,390.4602835988887,390.4602835988887
16,390.4602835988887,390.4602835988887
17,390.4602835988887,390.4602835988887
18,390.4602835988887,390.4602835988887
19,390.46028359888874,390.4602835988887
20,391.0522370439612,390.4602835988887
21,390.4602835988887,390.4602835988887
22,390.4602835988887,390.4602835988887
23,390.4602835988887,390.4602835988887
24,390.4602835988887,390.4602835988887
25,390.4602835988887,390.4602835988887
26,390.4602835988887,390.4602835988887
27,391.0522370439612,390.4602835988887
28,390.4602835988887,390.4602835988887
29,390.4433328235008,390.4433328235008
30,390.4602835988887,390.4433328235008
31,390.4602835988887,390.4433328235008
32,390.34071568628343,390.34071568628343
33,390.46028359888874,390.34071568628343
34,390.4602835988887,390.34071568628343
35,390.4602835988887,390.34071568628343
36,390.46028359888874,390.34071568628343
37,391.3901506167964,390.34071568628343
38,390.4602835988887,390.34071568628343
