iter,iter_best_length,global_best_length
0,408.05011017706204,408.05011017706204
1,390.3407156862834,390.3407156862834
2,390.44333282350084,390.3407156862834
3,392.37516497712636,390.3407156862834
4,390.1190699691541,390.1190699691541
5,392.3751649771264,390.1190699691541
6,392.37516497712636,390.1190699691541
7,391.29357038730825,390.1190699691541
8,390.46028359888874,390.1190699691541
9,391.2935703873082,390.1190699691541
10,390.4602835988887,390.1190699691541
11,390.4602835988887,390.1190699691541
12,389.70120207891665,389.70120207891665
13,390.4602835988887,389.70120207891665
14,390.4602835988887,389.70120207891665
15,390.44333282350084,389.70120207891665
16,390.46028359888874,389.70120207891665
17,386.7324610620254,386.7324610620254
18,390.4602835988887,386.7324610620254
19,390.46028359888874,386.7324610620254
20,390.4602835988887,386.7324610620254
21,390.4433328235009,386.7324610620254
22,389.85124981255785,386.7324610620254
23,390.4602835988887,386.7324610620254
24,390.34071568628343,386.7324610620254
25,390.4602835988887,386.7324610620254
26,390.4602835988887,386.7324610620254
27,387.6032798247542,386.7324610620254
28,389.85124981255785,386.7324610620254
29,389.85124981255785,386.7324610620254
30,390.4602835988887,386.7324610620254
31,390.4602835988887,386.7324610620254
32,390.4602835988887,386.7324610620254
33,390.4602835988887,386.7324610620254
34,391.2935703873082,386.7324610620254
35,390.4602835988887,386.7324610620254
36,390.4602835988887,386.7324610620254
37,390.4602835988887,386.7324610620254
38,390.4602835988887,386.7324610620254
39,390.4602835988887,386.7324610620254
40,390.4602835988887,386.7324610620254
41,390.4602835988887,386.7324610620254
42,390.499887912983,386.7324610620254
43,390.4602835988887,386.7324610620254
44,390.4602835988887,386.7324610620254
45,390.3407156862834,386.7324610620254
46,390.4602835988887,386.7324610620254
47,391.29357038730825,386.7324610620254
48,391.29357038730814,386.7324610620254
49,391.2935703873082,386.7324610620254
50,387.6032798247543,386.7324610620254
51,390.4602835988887,386.7324610620254
52,390.4602835988887,386.7324610620254
53,390.4602835988887,386.7324610620254
54,390.4602835988887,386.7324610620254
55,390.4602835988887,386.7324610620254
56,390.4602835988887,386.7324610620254
57,390.4602835988887,386.7324610620254
58,390.4602835988887,386.7324610620254
59,391.0522370439612,386.7324610620254
60,390.4602835988887,386.7324610620254
61,390.4602835988887,386.7324610620254
62,390.46028359888874,386.7324610620254
63,390.4602835988887,386.7324610620254
64,390.4602835988887,386.7324610620254
65,390.4602835988887,386.7324610620254
66,390.46028359888874,386.7324610620254
67,390.4602835988887,386.7324610620254
68,390.4602835988887,386.7324610620254
69,390.4602835988887,386.7324610620254
70,390.4602835988887,386.7324610620254
71,390.4602835988887,386.7324610620254
72,390.4602835988887,386.7324610620254
73,390.4602835988887,386.7324610620254
74,390.4602835988887,386.7324610620254
75,390.4602835988887,386.7324610620254
76,390.4602835988887,386.7324610620254
77,390.4602835988887,386.7324610620254
78,390.4602835988887,386.7324610620254
79,390.4602835988887,386.7324610620254
